,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,msi180924_634978 ~ 81.fits,58385.637661,68.16,269.42,0.2,0.0186,0.0571,0.0598,0.0003,0.0003,0.1925,0.0571,,2.66,-180.76,8.51,12.32
1,msi180924_634986 ~ 89.fits,58385.655236,68.09,269.42,0.2244,0.0076,0.0972,0.0798,0.0003,0.0003,0.2024,0.0971,,0.97,-180.76,13.75,12.98
2,msi180924_635005 ~ 08.fits,58385.678038,68.0,269.41,0.2573,-0.0138,0.0524,0.0559,0.0003,0.0003,0.2523,0.0524,,-1.53,-180.76,5.95,9.78
3,Weighted_average,58385.656978,68.08,269.41,0.2302,0.0026,0.0359,0.0363,0.0003,0.0003,0.2274,0.0359,0.2273,0.33,-179.09,4.52,
