,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,msi181008_639703 ~ 06.fits,58399.564054,11.9,265.09,-0.0124,0.0105,0.0081,0.0056,0.0003,0.0003,0.0146,0.0072,,69.78,-180.76,14.08,7.03
1,msi181008_639707 ~ 10.fits,58399.568697,11.88,265.09,-0.0094,0.0077,0.0053,0.0054,0.0003,0.0003,0.0109,0.0054,,70.37,-180.76,14.08,7.86
2,msi181008_639715 ~ 18.fits,58399.577967,11.86,265.09,-0.0156,0.0095,0.0097,0.0056,0.0003,0.0003,0.016,0.0088,,74.24,-180.76,15.74,7.12
3,msi181008_639719 ~ 22.fits,58399.582605,11.84,265.09,0.0014,0.0066,0.006,0.0058,0.0003,0.0003,0.0035,0.0058,,39.07,-180.76,48.0,7.72
4,msi181008_639723 ~ 26.fits,58399.587215,11.83,265.09,-0.0117,0.0038,0.0053,0.0052,0.0003,0.0003,0.0112,0.0053,,81.02,-180.76,13.51,6.59
5,msi181008_639739 ~ 42.fits,58399.605723,11.77,265.1,-0.0087,0.0045,0.0049,0.0049,0.0003,0.0003,0.0085,0.0049,,76.37,-180.76,16.51,6.82
6,msi181008_639743 ~ 46.fits,58399.610356,11.76,265.1,-0.0142,0.0036,0.005,0.005,0.0003,0.0003,0.0138,0.005,,82.88,-180.76,10.34,7.41
7,msi181008_639747 ~ 50.fits,58399.614984,11.74,265.1,-0.0165,0.0023,0.0052,0.0047,0.0003,0.0003,0.0159,0.0052,,86.05,-180.76,9.39,7.07
8,msi181008_639751 ~ 54.fits,58399.619623,11.73,265.1,-0.0054,0.0033,0.0047,0.0044,0.0003,0.0003,0.0044,0.0046,,74.5,-180.76,30.3,6.69
9,msi181008_639755 ~ 58.fits,58399.624245,11.71,265.1,-0.0129,0.002,0.0043,0.0043,0.0003,0.0003,0.0123,0.0043,,85.55,-180.76,10.08,7.09
10,msi181008_639759 ~ 62.fits,58399.62887,11.7,265.1,-0.0154,-0.0049,0.0041,0.004,0.0003,0.0003,0.0156,0.0041,,-81.22,-180.76,7.49,6.3
11,msi181008_639763 ~ 66.fits,58399.633487,11.68,265.1,-0.0106,0.0062,0.0042,0.0042,0.0003,0.0003,0.0115,0.0042,,74.89,-180.76,10.48,7.64
12,msi181008_639767 ~ 70.fits,58399.638123,11.67,265.11,-0.0089,-0.0007,0.0038,0.0038,0.0003,0.0003,0.0081,0.0039,,-87.9,-180.76,13.72,5.98
13,msi181008_639771 ~ 74.fits,58399.64274,11.65,265.11,-0.0133,0.0021,0.0039,0.0038,0.0003,0.0003,0.0129,0.0039,,85.57,-180.76,8.63,5.5
14,msi181008_639775 ~ 78.fits,58399.647488,11.64,265.11,-0.0149,0.0039,0.004,0.0039,0.0003,0.0003,0.0149,0.004,,82.61,-180.76,7.68,5.96
15,msi181008_639779 ~ 82.fits,58399.652117,11.63,265.11,-0.0131,0.0023,0.0038,0.0038,0.0003,0.0003,0.0128,0.0038,,85.01,-180.76,8.54,5.97
16,msi181008_639783 ~ 86.fits,58399.656747,11.61,265.11,-0.0077,0.0019,0.0037,0.0038,0.0003,0.0003,0.007,0.0037,,83.16,-180.76,15.18,5.31
17,msi181008_639791 ~ 94.fits,58399.666001,11.58,265.12,-0.0074,0.0014,0.004,0.0042,0.0003,0.0003,0.0064,0.004,,84.84,-180.76,18.0,6.76
18,msi181008_639795 ~ 98.fits,58399.670633,11.57,265.12,-0.0102,0.0019,0.0047,0.0046,0.0003,0.0003,0.0092,0.0047,,84.63,-180.76,14.61,7.41
19,msi181008_639803 ~ 06.fits,58399.67991,11.54,265.12,-0.0158,0.007,0.005,0.005,0.0003,0.0003,0.0166,0.005,,78.01,-180.76,8.62,7.68
20,msi181008_639807 ~ 10.fits,58399.68453,11.53,265.12,-0.013,0.0059,0.005,0.0047,0.0003,0.0003,0.0134,0.0049,,77.68,-180.76,10.61,6.21
21,msi181008_639819 ~ 22.fits,58399.698418,11.48,265.12,-0.0052,-0.0001,0.0048,0.0051,0.0003,0.0003,0.002,0.0048,,-89.48,-180.76,67.26,6.47
22,msi181008_639823 ~ 26.fits,58399.703038,11.47,265.13,-0.0146,-0.0001,0.0051,0.0051,0.0003,0.0003,0.0136,0.0051,,-89.86,-180.76,10.72,6.36
23,msi181008_639827 ~ 30.fits,58399.707671,11.45,265.13,-0.0145,0.0022,0.0051,0.005,0.0003,0.0003,0.0137,0.0051,,85.7,-180.76,10.69,6.31
24,msi181008_639831 ~ 34.fits,58399.7123,11.44,265.13,-0.013,0.0039,0.0049,0.0048,0.0003,0.0003,0.0126,0.0049,,81.63,-180.76,11.19,5.67
25,Weighted_average,58399.639102,11.67,265.11,-0.0113,0.003,0.0009,0.0009,0.0003,0.0003,0.0116,0.001,-0.0116,82.57,-92.54,2.41,
