,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,p_155140_ALBj110093 ~ 96.fits,2458403.475308,2.62,274.28,-0.0092,-0.0009,0.0016,0.0017,0.0007,0.0007,0.0091,0.0017,,-87.22,-91.32,5.29,4.62
1,p_155140_ALBj110097 ~ 00.fits,2458403.478542,2.61,274.32,-0.0057,-0.0009,0.0015,0.0017,0.0007,0.0007,0.0056,0.0017,,-85.47,-91.32,8.52,5.65
2,p_155140_ALBj110101 ~ 04.fits,2458403.481761,2.61,274.36,-0.0056,-0.0007,0.0016,0.0015,0.0007,0.0007,0.0054,0.0017,,-86.23,-91.32,8.86,4.24
3,p_155140_ALBj110109 ~ 12.fits,2458403.488205,2.59,274.44,-0.0081,-0.002,0.0015,0.0015,0.0007,0.0007,0.0083,0.0016,,-82.94,-91.32,5.72,4.24
4,p_155140_ALBj110117 ~ 20.fits,2458403.494636,2.58,274.52,-0.0096,0.0018,0.0014,0.0014,0.0007,0.0007,0.0096,0.0016,,84.78,-91.32,4.62,5.38
5,p_155140_ALBj110121 ~ 24.fits,2458403.500384,2.56,274.59,-0.0047,0.0009,0.0014,0.0014,0.0007,0.0007,0.0046,0.0015,,84.67,-91.32,9.51,5.36
6,p_155140_ALBj110125 ~ 28.fits,2458403.503612,2.55,274.63,-0.0042,-0.0029,0.0022,0.0015,0.0007,0.0007,0.0047,0.0021,,-72.71,-91.32,12.95,8.68
7,p_155140_ALBj110133 ~ 36.fits,2458403.510059,2.54,274.72,-0.0038,0.0007,0.0013,0.0013,0.0007,0.0007,0.0036,0.0015,,84.85,-91.32,11.81,4.24
8,Weighted_average,2458403.491563,2.58,274.48,-0.0064,-0.0004,0.0005,0.0005,0.0007,0.0007,0.0064,0.0008,-0.0064,-88.2,-92.68,3.77,5.3
