,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
31,msi181004_638915 ~ 18.fits,58395.609416,25.63,265.58,0.0133,0.002,0.006,0.0059,0.0003,0.0003,0.012,0.006,,4.27,-180.76,14.42,7.33
32,msi181004_638919 ~ 22.fits,58395.612656,25.62,265.58,0.0115,-0.0047,0.0057,0.0058,0.0003,0.0003,0.0111,0.0057,,-11.17,-180.76,14.75,7.45
33,msi181004_638933 ~ 36.fits,58395.616919,25.6,265.58,0.0143,-0.0045,0.0056,0.0064,0.0003,0.0003,0.0139,0.0057,,-8.74,-180.76,11.82,8.41
34,msi181004_638937 ~ 40.fits,58395.620146,25.59,265.58,0.0126,-0.0043,0.0068,0.0071,0.0003,0.0003,0.0114,0.0068,,-9.35,-180.76,17.18,9.63
35,msi181004_638941 ~ 44.fits,58395.623379,25.58,265.58,0.0176,-0.0063,0.0075,0.0081,0.0003,0.0003,0.0171,0.0075,,-9.88,-180.76,12.65,10.75
36,msi181004_638945 ~ 48.fits,58395.626616,25.57,265.58,0.0142,-0.0047,0.0077,0.0069,0.0003,0.0003,0.0129,0.0076,,-9.11,-180.76,17.04,8.69
37,msi181004_638957 ~ 60.fits,58395.636341,25.53,265.57,0.0152,-0.0119,0.0076,0.0076,0.0003,0.0003,0.0178,0.0076,,-18.95,-180.76,12.28,8.82
38,msi181004_638961 ~ 64.fits,58395.639568,25.52,265.57,0.0182,0.0012,0.0084,0.0075,0.0003,0.0003,0.0162,0.0084,,1.96,-180.76,14.82,8.7
39,msi181004_638965 ~ 68.fits,58395.6428,25.5,265.57,0.0081,-0.0124,0.0082,0.0081,0.0003,0.0003,0.0123,0.0081,,-28.46,-180.76,18.88,8.65
40,msi181004_638973 ~ 76.fits,58395.649285,25.48,265.57,0.0064,-0.0013,0.0086,0.0089,0.0003,0.0003,0.0,0.0086,,-5.53,-180.76,inf,9.46
41,msi181004_638977 ~ 80.fits,58395.652524,25.46,265.57,0.0074,-0.0034,0.0096,0.0089,0.0003,0.0003,0.0,0.0095,,-12.35,-180.76,inf,8.16
42,msi181004_638981 ~ 84.fits,58395.655763,25.45,265.56,0.009,-0.0041,0.009,0.0083,0.0003,0.0003,0.0045,0.0089,,-12.17,-180.76,56.33,7.9
43,msi181004_638985 ~ 88.fits,58395.659008,25.44,265.56,0.0097,-0.0023,0.008,0.0079,0.0003,0.0003,0.006,0.008,,-6.71,-180.76,38.4,6.73
44,msi181004_638989 ~ 92.fits,58395.662245,25.43,265.56,0.0165,-0.0036,0.008,0.0084,0.0003,0.0003,0.0149,0.008,,-6.16,-180.76,15.48,7.45
45,msi181004_638993 ~ 96.fits,58395.665488,25.41,265.56,0.0096,-0.0029,0.0078,0.0082,0.0003,0.0003,0.0063,0.0078,,-8.46,-180.76,35.32,7.74
46,msi181004_638997 ~ 00.fits,58395.668722,25.4,265.56,0.0102,0.0069,0.0084,0.0088,0.0003,0.0003,0.0089,0.0085,,16.97,-180.76,27.43,8.39
47,msi181004_639001 ~ 04.fits,58395.671968,25.39,265.56,0.0102,0.0065,0.0081,0.0083,0.0003,0.0003,0.0089,0.0082,,16.38,-180.76,26.14,8.32
48,msi181004_639005 ~ 08.fits,58395.675202,25.38,265.56,0.0047,0.001,0.0079,0.0079,0.0003,0.0003,0.0,0.0079,,6.19,-180.76,inf,7.87
49,msi181004_639013 ~ 16.fits,58395.681671,25.35,265.56,0.0111,0.0029,0.0077,0.0076,0.0003,0.0003,0.0086,0.0077,,7.35,-180.76,25.62,8.46
50,msi181004_639025 ~ 28.fits,58395.691379,25.31,265.55,0.0215,-0.0029,0.007,0.0068,0.0003,0.0003,0.0206,0.007,,-3.9,-180.76,9.76,7.61
51,msi181004_639029 ~ 32.fits,58395.69461,25.3,265.55,0.0109,-0.0035,0.0068,0.0071,0.0003,0.0003,0.0093,0.0068,,-8.93,-180.76,21.16,8.78
52,msi181004_639033 ~ 36.fits,58395.697851,25.29,265.55,0.0076,-0.0091,0.0072,0.0072,0.0003,0.0003,0.0095,0.0072,,-25.04,-180.76,21.68,8.7
53,msi181004_639037 ~ 40.fits,58395.70108,25.28,265.55,0.0149,0.005,0.0072,0.0063,0.0003,0.0003,0.014,0.0071,,9.34,-180.76,14.46,7.91
54,msi181004_639041 ~ 44.fits,58395.704321,25.26,265.55,0.0077,0.0017,0.0065,0.0067,0.0003,0.0003,0.0044,0.0065,,6.28,-180.76,42.93,9.21
55,msi181004_639045 ~ 48.fits,58395.707557,25.25,265.55,0.0111,-0.0012,0.0068,0.0066,0.0003,0.0003,0.0089,0.0068,,-3.08,-180.76,21.67,8.11
56,msi181004_639049 ~ 52.fits,58395.710793,25.24,265.54,0.0152,0.0048,0.0069,0.0068,0.0003,0.0003,0.0144,0.0069,,8.77,-180.76,13.84,8.2
57,msi181004_639053 ~ 56.fits,58395.714025,25.23,265.54,0.0235,-0.0023,0.0061,0.0058,0.0003,0.0003,0.0228,0.0061,,-2.81,-180.76,7.64,6.89
58,msi181004_639057 ~ 60.fits,58395.717265,25.21,265.54,0.0089,-0.0014,0.006,0.0061,0.0003,0.0003,0.0067,0.006,,-4.57,-180.76,25.56,7.8
59,msi181004_639061 ~ 64.fits,58395.720502,25.2,265.54,0.0127,0.0024,0.0063,0.0063,0.0003,0.0003,0.0113,0.0063,,5.4,-180.76,15.9,7.71
60,msi181004_639065 ~ 68.fits,58395.723734,25.19,265.54,0.0131,-0.007,0.0061,0.0061,0.0003,0.0003,0.0136,0.0061,,-14.03,-180.76,12.96,7.74
61,msi181004_639069 ~ 72.fits,58395.726977,25.17,265.54,0.0111,-0.0086,0.0063,0.0081,0.0003,0.0003,0.0122,0.0071,,-18.88,-180.76,16.57,8.57
62,msi181004_639073 ~ 76.fits,58395.730216,25.16,265.54,0.0126,0.0125,0.0144,0.0183,0.0003,0.0003,0.0067,0.0165,,22.46,-180.76,70.6,8.51
63,msi181004_639099 ~ 02.fits,58395.744821,25.11,265.53,0.0081,-0.0024,0.0081,0.01,0.0003,0.0003,0.0018,0.0082,,-8.34,-180.76,128.3,9.92
64,msi181004_639103 ~ 06.fits,58395.748064,25.09,265.53,0.0122,-0.0067,0.0111,0.011,0.0003,0.0003,0.0085,0.0111,,-14.39,-180.76,37.41,8.24
65,msi181004_639107 ~ 10.fits,58395.751298,25.08,265.53,0.0018,-0.0023,0.0143,0.0133,0.0003,0.0003,0.0,0.0136,,-26.33,-180.76,inf,9.42
66,msi181004_639111 ~ 14.fits,58395.754526,25.07,265.53,0.0115,-0.0112,0.0106,0.0122,0.0003,0.0003,0.0114,0.0114,,-22.14,-180.76,28.73,10.77
67,msi181004_639115 ~ 18.fits,58395.757767,25.06,265.53,0.0238,-0.007,0.0156,0.0103,0.0003,0.0003,0.0195,0.0152,,-8.2,-180.76,22.36,7.99
68,msi181004_639119 ~ 22.fits,58395.761004,25.04,265.53,0.0165,-0.0107,0.0089,0.0097,0.0003,0.0003,0.0174,0.0091,,-16.51,-180.76,15.05,8.14
69,msi181004_639123 ~ 26.fits,58395.764249,25.03,265.53,0.021,-0.0142,0.0086,0.0085,0.0003,0.0003,0.0238,0.0086,,-16.99,-180.76,10.31,8.15
70,msi181004_639127 ~ 30.fits,58395.767486,25.02,265.52,0.0157,0.003,0.0085,0.0087,0.0003,0.0003,0.0135,0.0086,,5.36,-180.76,18.15,8.08
71,msi181004_639131 ~ 34.fits,58395.770728,25.0,265.52,0.0165,-0.0057,0.0092,0.0089,0.0003,0.0003,0.0149,0.0091,,-9.55,-180.76,17.54,8.44
72,msi181004_639135 ~ 38.fits,58395.773957,24.99,265.52,0.013,-0.0016,0.0094,0.0091,0.0003,0.0003,0.0091,0.0094,,-3.61,-180.76,29.35,8.56
73,msi181004_639139 ~ 42.fits,58395.77718,24.98,265.52,0.0238,-0.0018,0.0095,0.0101,0.0003,0.0003,0.0219,0.0095,,-2.18,-180.76,12.44,10.25
74,msi181004_639143 ~ 46.fits,58395.780408,24.97,265.52,0.012,-0.0053,0.0089,0.0092,0.0003,0.0003,0.0095,0.009,,-12.04,-180.76,26.93,9.4
75,msi181004_639151 ~ 54.fits,58395.786877,24.94,265.52,0.0148,-0.0041,0.013,0.0183,0.0003,0.0003,0.0075,0.0134,,-7.8,-180.76,51.16,7.84
76,msi181004_639155 ~ 58.fits,58395.790115,24.93,265.52,-0.0019,0.0069,0.025,0.0241,0.0003,0.0003,0.0,0.0242,,52.81,-180.76,inf,10.62
77,msi181004_639169 ~ 72.fits,58395.799491,24.89,265.51,0.0205,-0.0101,0.013,0.0136,0.0003,0.0003,0.0187,0.0131,,-13.16,-180.76,20.09,9.54
78,msi181004_639173 ~ 76.fits,58395.802733,24.88,265.51,0.0058,0.0097,0.0123,0.0108,0.0003,0.0003,0.0014,0.0113,,29.51,-180.76,238.34,9.4
79,msi181004_639177 ~ 80.fits,58395.805966,24.87,265.51,0.0166,-0.0037,0.0102,0.0105,0.0003,0.0003,0.0136,0.0102,,-6.3,-180.76,21.5,9.99
80,msi181004_639185 ~ 88.fits,58395.81857,24.82,265.51,0.0231,0.015,0.0121,0.0137,0.0003,0.0003,0.0244,0.0126,,16.48,-180.76,14.79,8.98
81,msi181004_639189 ~ 92.fits,58395.821809,24.81,265.51,0.0079,0.0015,0.016,0.0211,0.0003,0.0003,0.0,0.0162,,5.31,-180.76,inf,8.02
82,Weighted_average,58395.651737,25.47,265.57,0.0142,-0.0023,0.0009,0.0009,0.0003,0.0003,0.0143,0.0009,0.0143,-4.63,-180.2,1.86,
