,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,msi181004_638779 ~ 82.fits,58395.499492,26.06,265.62,0.0246,0.0063,0.0119,0.0116,0.0003,0.0003,0.0224,0.0119,,7.17,-180.76,15.16,12.75
1,msi181004_638783 ~ 86.fits,58395.502732,26.05,265.62,0.0347,-0.0123,0.0135,0.0096,0.0003,0.0003,0.0344,0.0131,,-9.74,-180.76,10.95,11.19
2,msi181004_638787 ~ 90.fits,58395.505962,26.04,265.62,0.0303,0.0013,0.0113,0.0118,0.0003,0.0003,0.0282,0.0113,,1.22,-180.76,11.53,12.75
3,msi181004_638791 ~ 94.fits,58395.509184,26.02,265.62,0.0014,-0.0101,0.0099,0.0095,0.0003,0.0003,0.0038,0.0095,,-40.98,-180.76,72.31,9.99
4,msi181004_638795 ~ 98.fits,58395.512416,26.01,265.62,0.01,-0.0009,0.0084,0.0082,0.0003,0.0003,0.0056,0.0084,,-2.62,-180.76,43.09,9.57
5,msi181004_638799 ~ 02.fits,58395.515646,26.0,265.62,0.0164,-0.0125,0.0089,0.0087,0.0003,0.0003,0.0187,0.0088,,-18.63,-180.76,13.54,8.46
6,msi181004_638803 ~ 06.fits,58395.518891,25.99,265.62,0.013,-0.0045,0.0095,0.009,0.0003,0.0003,0.01,0.0094,,-9.49,-180.76,26.92,10.39
7,msi181004_638807 ~ 10.fits,58395.522115,25.97,265.62,0.006,-0.0051,0.0103,0.0085,0.0003,0.0003,0.0,0.0096,,-20.13,-180.76,inf,9.54
8,msi181004_638811 ~ 14.fits,58395.52535,25.96,265.61,0.023,-0.0042,0.0088,0.0082,0.0003,0.0003,0.0217,0.0088,,-5.2,-180.76,11.58,8.57
9,msi181004_638815 ~ 18.fits,58395.528586,25.95,265.61,0.0167,0.0005,0.0079,0.0079,0.0003,0.0003,0.0148,0.0079,,0.77,-180.76,15.27,8.74
10,msi181004_638819 ~ 22.fits,58395.531828,25.94,265.61,0.0076,-0.0046,0.0078,0.0076,0.0003,0.0003,0.0045,0.0078,,-15.58,-180.76,49.82,7.61
11,msi181004_638823 ~ 26.fits,58395.53505,25.92,265.61,0.0211,-0.0019,0.0096,0.0101,0.0003,0.0003,0.0189,0.0097,,-2.54,-180.76,14.63,10.47
12,msi181004_638835 ~ 38.fits,58395.544749,25.89,265.61,0.02,0.0099,0.0079,0.008,0.0003,0.0003,0.0209,0.0079,,13.14,-180.76,10.89,7.91
13,msi181004_638839 ~ 42.fits,58395.547977,25.87,265.6,0.0125,-0.0024,0.0092,0.0084,0.0003,0.0003,0.0088,0.0091,,-5.38,-180.76,29.81,7.03
14,msi181004_638843 ~ 46.fits,58395.551218,25.86,265.6,0.0126,0.0063,0.0078,0.0072,0.0003,0.0003,0.0118,0.0077,,13.36,-180.76,18.61,5.86
15,msi181004_638847 ~ 50.fits,58395.554447,25.85,265.6,0.0211,-0.0051,0.0081,0.0087,0.0003,0.0003,0.0201,0.0082,,-6.83,-180.76,11.64,7.35
16,msi181004_638851 ~ 54.fits,58395.557678,25.84,265.6,0.0228,-0.0121,0.0094,0.0091,0.0003,0.0003,0.0241,0.0093,,-13.96,-180.76,11.11,8.7
17,msi181004_638859 ~ 62.fits,58395.564137,25.81,265.6,0.0202,-0.0074,0.0083,0.0081,0.0003,0.0003,0.0199,0.0082,,-10.02,-180.76,11.9,7.79
18,msi181004_638863 ~ 66.fits,58395.567378,25.8,265.6,0.0141,-0.0066,0.0077,0.0092,0.0003,0.0003,0.0134,0.008,,-12.57,-180.76,17.04,8.74
19,msi181004_638867 ~ 70.fits,58395.570604,25.78,265.6,0.0107,-0.0064,0.0092,0.0073,0.0003,0.0003,0.0089,0.0087,,-15.4,-180.76,28.2,6.56
20,msi181004_638871 ~ 74.fits,58395.573833,25.77,265.6,0.0166,-0.0013,0.0074,0.0077,0.0003,0.0003,0.0149,0.0075,,-2.31,-180.76,14.32,7.94
21,msi181004_638875 ~ 78.fits,58395.577065,25.76,265.59,0.01,-0.0002,0.0087,0.0079,0.0003,0.0003,0.005,0.0087,,-0.62,-180.76,50.14,8.14
22,msi181004_638879 ~ 82.fits,58395.580305,25.75,265.59,0.0252,0.0015,0.0072,0.0069,0.0003,0.0003,0.0242,0.0072,,1.68,-180.76,8.53,7.42
23,msi181004_638883 ~ 86.fits,58395.583523,25.73,265.59,0.0157,0.0005,0.0074,0.0069,0.0003,0.0003,0.0138,0.0075,,0.99,-180.76,15.46,7.58
24,msi181004_638887 ~ 90.fits,58395.586745,25.72,265.59,0.0174,0.0009,0.0066,0.0069,0.0003,0.0003,0.0161,0.0066,,1.44,-180.76,11.77,8.04
25,msi181004_638891 ~ 94.fits,58395.589986,25.71,265.59,0.015,-0.0027,0.0067,0.0065,0.0003,0.0003,0.0136,0.0067,,-5.13,-180.76,14.16,7.88
26,msi181004_638895 ~ 98.fits,58395.593223,25.7,265.59,0.0165,0.0017,0.007,0.0071,0.0003,0.0003,0.0151,0.007,,2.86,-180.76,13.32,8.02
27,msi181004_638899 ~ 02.fits,58395.596467,25.68,265.59,0.0189,-0.0013,0.006,0.0059,0.0003,0.0003,0.018,0.006,,-2.02,-180.76,9.56,7.08
28,msi181004_638903 ~ 06.fits,58395.599692,25.67,265.59,0.0126,-0.0012,0.0062,0.0062,0.0003,0.0003,0.011,0.0062,,-2.71,-180.76,16.06,7.74
29,msi181004_638907 ~ 10.fits,58395.602924,25.66,265.58,0.0185,-0.0055,0.0061,0.0061,0.0003,0.0003,0.0183,0.0061,,-8.22,-180.76,9.5,7.54
30,msi181004_638911 ~ 14.fits,58395.606163,25.65,265.58,0.011,-0.0002,0.0058,0.0058,0.0003,0.0003,0.0094,0.0058,,-0.51,-180.76,17.58,7.41
