,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,p_155140_ALBi290195.fits ~ 98.fits,2458391.712145,44.15,267.47,9.4964,-1.3017,0.2164,0.2634,0.038,0.0379,9.58,0.22,,-3.9,-181.37,-3.9,4.88
1,p_155140_ALBi290206.fits ~ 09.fits,2458391.726305,44.08,267.47,8.7229,-1.6102,0.2064,0.2141,0.038,0.0379,8.87,0.21,,-5.23,-182.7,-5.23,4.28
2,p_155140_ALBi290210.fits ~ 13.fits,2458391.73051,44.06,267.46,5.6792,-1.9169,0.3405,0.3145,0.038,0.0379,5.98,0.34,,-9.33,-186.8,-9.33,4.93
3,Weighted_average,2458391.722987,44.1,267.47,8.5408,-1.5812,0.1368,0.1469,0.038,0.0379,8.6848,0.1423,8.65,-5.24,-2.61,0.47,4.69
