,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,p_155140_ALBj140088 ~ 91.fits,2458406.541379,4.14,70.75,-0.0093,0.009,0.002,0.002,0.0007,0.0007,0.0128,0.0021,,67.91,-91.32,4.78,7.81
1,p_155140_ALBj140092 ~ 95.fits,2458406.54299,4.15,70.76,-0.0066,0.0078,0.0019,0.002,0.0007,0.0007,0.01,0.0021,,65.05,-91.32,5.89,6.85
2,p_155140_ALBj140104 ~ 07.fits,2458406.546745,4.17,70.8,-0.009,0.0028,0.0018,0.0018,0.0007,0.0007,0.0092,0.002,,81.44,-91.32,6.06,6.91
3,p_155140_ALBj140108 ~ 11.fits,2458406.549427,4.17,70.81,-0.0118,0.0066,0.0018,0.0018,0.0007,0.0007,0.0134,0.0019,,75.39,-91.32,4.12,6.75
4,p_155140_ALBj140112 ~ 15.fits,2458406.551679,4.18,70.82,-0.0072,0.0056,0.0018,0.0018,0.0007,0.0007,0.009,0.0019,,71.1,-91.32,6.03,6.4
5,p_155140_ALBj140116 ~ 19.fits,2458406.553716,4.19,70.83,-0.0073,0.0048,0.0017,0.0017,0.0007,0.0007,0.0086,0.0018,,73.37,-91.32,6.11,4.02
6,p_155140_ALBj140124 ~ 27.fits,2458406.556288,4.2,70.86,-0.0076,0.0026,0.0017,0.0017,0.0007,0.0007,0.0079,0.0018,,80.64,-91.32,6.61,6.12
7,p_155140_ALBj140128 ~ 31.fits,2458406.558619,4.21,70.87,-0.0046,0.0054,0.0017,0.0022,0.0007,0.0007,0.0068,0.0021,,65.36,-91.32,8.97,6.14
8,p_155140_ALBj140136 ~ 39.fits,2458406.561147,4.22,70.9,-0.0058,0.0057,0.0017,0.0023,0.0007,0.0007,0.0079,0.0021,,67.79,-91.32,7.68,5.92
9,Weighted_average,2458406.551332,4.18,70.82,-0.0076,0.0054,0.0006,0.0006,0.0007,0.0007,0.0093,0.0009,-0.0093,72.25,-88.57,2.81,6.33
