,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,msi180927_636554 ~ 57.fits,58388.608103,55.56,268.56,0.0966,-0.0301,0.0612,0.0523,0.0003,0.0003,0.0812,0.0604,,-8.64,-180.76,21.34,10.2
1,msi180927_636574 ~ 77.fits,58388.632216,55.46,268.55,0.1217,0.0117,0.0337,0.0353,0.0003,0.0003,0.1175,0.0337,,2.76,-180.76,8.21,13.5
2,msi180927_636578 ~ 81.fits,58388.636834,55.44,268.55,0.1155,-0.0152,0.0292,0.0272,0.0003,0.0003,0.1128,0.0292,,-3.75,-180.76,7.42,9.75
3,msi180927_636582 ~ 85.fits,58388.641449,55.42,268.55,0.1737,-0.0128,0.028,0.026,0.0003,0.0003,0.1719,0.028,,-2.11,-180.76,4.67,10.09
4,msi180927_636586 ~ 89.fits,58388.646064,55.4,268.55,0.1619,-0.0182,0.026,0.0284,0.0003,0.0003,0.1608,0.026,,-3.22,-180.76,4.64,12.43
5,msi180927_636590 ~ 93.fits,58388.650675,55.38,268.55,0.1292,0.0541,0.033,0.0367,0.0003,0.0003,0.136,0.0336,,11.35,-180.76,7.09,11.83
6,Weighted_average,58388.63589,55.44,268.55,0.1415,-0.0039,0.0129,0.0129,0.0003,0.0003,0.141,0.0129,0.1409,-0.8,-179.35,2.63,
