,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,p_155140_ALBj120119 ~ 22.fits,2458404.378305,0.76,315.5,0.0011,-0.0044,0.0018,0.0018,0.0007,0.0007,0.0042,0.0019,,-38.02,-91.32,13.1,8.83
1,p_155140_ALBj120123 ~ 26.fits,2458404.379916,0.75,315.96,-0.0005,-0.0002,0.0025,0.0017,0.0007,0.0007,0.0,0.0025,,-79.2,-91.32,inf,9.0
2,p_155140_ALBj120127 ~ 30.fits,2458404.381526,0.75,316.42,0.0012,-0.0032,0.0018,0.0017,0.0007,0.0007,0.003,0.0019,,-34.96,-91.32,17.94,9.48
3,p_155140_ALBj120131 ~ 34.fits,2458404.383136,0.75,316.89,0.0044,-0.0031,0.0017,0.0017,0.0007,0.0007,0.0051,0.0018,,-17.86,-91.32,10.17,9.09
4,p_155140_ALBj120135 ~ 38.fits,2458404.384746,0.74,317.36,-0.0014,-0.0059,0.0017,0.002,0.0007,0.0007,0.0057,0.0022,,-51.5,-91.32,10.82,9.28
5,p_155140_ALBj120139 ~ 42.fits,2458404.386356,0.74,317.84,0.0032,-0.0031,0.0016,0.0018,0.0007,0.0007,0.0041,0.0018,,-22.08,-91.32,12.7,9.27
6,p_155140_ALBj120143 ~ 46.fits,2458404.387965,0.73,318.33,0.0002,-0.0028,0.0016,0.0015,0.0007,0.0007,0.0023,0.0017,,-42.93,-91.32,21.47,8.77
7,p_155140_ALBj120147 ~ 50.fits,2458404.389575,0.73,318.82,0.0065,-0.0037,0.0015,0.0015,0.0007,0.0007,0.0073,0.0017,,-14.96,-91.32,6.58,8.31
8,Weighted_average,2458404.383941,0.74,317.11,0.0021,-0.0032,0.0006,0.0006,0.0007,0.0007,0.0038,0.0009,-0.0033,-28.21,-75.35,7.05,9.0
