,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,msi181002_637653 ~ 56.fits,58393.547693,33.96,266.42,0.0421,-0.0033,0.0129,0.0144,0.0003,0.0003,0.0402,0.013,,-2.23,-180.76,9.24,12.75
1,msi181002_637657 ~ 60.fits,58393.550921,33.95,266.42,0.0393,-0.01,0.0145,0.0146,0.0003,0.0003,0.0378,0.0145,,-7.16,-180.76,10.98,12.75
2,msi181002_637665 ~ 68.fits,58393.559846,33.91,266.41,0.0598,-0.0062,0.0158,0.0161,0.0003,0.0003,0.0581,0.0158,,-2.97,-180.76,7.8,12.75
3,msi181002_637669 ~ 72.fits,58393.563072,33.9,266.41,0.0433,0.0031,0.0162,0.0184,0.0003,0.0003,0.0403,0.0162,,2.08,-180.76,11.51,12.75
4,msi181002_637685 ~ 88.fits,58393.579873,33.83,266.4,0.0523,-0.0052,0.0292,0.015,0.0003,0.0003,0.0438,0.0291,,-2.82,-180.76,18.99,10.39
5,msi181002_637689 ~ 92.fits,58393.583101,33.81,266.4,0.0564,0.0007,0.0155,0.0226,0.0003,0.0003,0.0542,0.0155,,0.37,-180.76,8.2,12.75
6,msi181002_637693 ~ 96.fits,58393.586331,33.8,266.4,0.0536,-0.0621,0.0514,0.0587,0.0003,0.0003,0.0602,0.0557,,-24.61,-180.76,26.53,9.45
7,msi181002_637697 ~ 00.fits,58393.589616,33.79,266.4,0.0547,-0.0079,0.0168,0.0171,0.0003,0.0003,0.0527,0.0168,,-4.09,-180.76,9.16,10.35
8,msi181002_637701 ~ 04.fits,58393.592861,33.77,266.4,0.0347,0.0012,0.0198,0.0168,0.0003,0.0003,0.0285,0.0198,,0.99,-180.76,19.95,11.45
9,msi181002_637705 ~ 08.fits,58393.596084,33.76,266.4,0.0289,0.0345,0.0376,0.056,0.0003,0.0003,0.0,0.0492,,25.04,-180.76,inf,12.14
10,msi181002_637709 ~ 12.fits,58393.599307,33.75,266.4,0.0404,-0.0112,0.0232,0.0565,0.0003,0.0003,0.032,0.027,,-7.78,-180.76,24.17,12.75
11,msi181002_637733 ~ 36.fits,58393.626401,33.63,266.38,0.0661,-0.0163,0.0168,0.0123,0.0003,0.0003,0.066,0.0166,,-6.91,-180.76,7.19,9.04
12,msi181002_637741 ~ 44.fits,58393.632884,33.6,266.38,0.0612,-0.0114,0.0197,0.0092,0.0003,0.0003,0.0592,0.0194,,-5.3,-180.76,9.41,8.02
13,msi181002_637745 ~ 48.fits,58393.636113,33.59,266.38,0.0518,-0.0046,0.0112,0.0114,0.0003,0.0003,0.0508,0.0112,,-2.54,-180.76,6.34,7.8
14,msi181002_637749 ~ 52.fits,58393.639354,33.58,266.38,0.0364,0.0002,0.0083,0.0083,0.0003,0.0003,0.0355,0.0083,,0.15,-180.76,6.7,7.61
15,msi181002_637769 ~ 72.fits,58393.660432,33.49,266.37,0.0307,-0.0007,0.0106,0.0102,0.0003,0.0003,0.0289,0.0106,,-0.62,-180.76,10.55,7.61
16,msi181002_637773 ~ 76.fits,58393.663663,33.47,266.37,0.0373,-0.009,0.0088,0.0079,0.0003,0.0003,0.0374,0.0087,,-6.8,-180.76,6.7,7.12
17,msi181002_637777 ~ 80.fits,58393.666899,33.46,266.37,0.0387,-0.0076,0.0078,0.0081,0.0003,0.0003,0.0386,0.0078,,-5.54,-180.76,5.8,7.91
18,msi181002_637781 ~ 84.fits,58393.670131,33.45,266.36,0.0333,-0.0114,0.0081,0.0091,0.0003,0.0003,0.0342,0.0082,,-9.42,-180.76,6.84,8.23
19,msi181002_637785 ~ 88.fits,58393.673374,33.43,266.36,0.0425,-0.0102,0.0086,0.0085,0.0003,0.0003,0.0429,0.0086,,-6.75,-180.76,5.75,7.26
20,msi181002_637789 ~ 92.fits,58393.676617,33.42,266.36,0.0391,-0.017,0.009,0.0092,0.0003,0.0003,0.0417,0.0091,,-11.78,-180.76,6.23,7.45
21,msi181002_637793 ~ 96.fits,58393.679857,33.41,266.36,0.0458,-0.0128,0.0085,0.0093,0.0003,0.0003,0.0468,0.0086,,-7.82,-180.76,5.24,7.07
22,msi181002_637797 ~ 00.fits,58393.683094,33.39,266.36,0.0389,-0.0096,0.0096,0.0096,0.0003,0.0003,0.0389,0.0096,,-6.93,-180.76,7.1,7.55
23,msi181002_637801 ~ 04.fits,58393.686325,33.38,266.36,0.0406,-0.0153,0.0101,0.0185,0.0003,0.0003,0.0419,0.0115,,-10.35,-180.76,7.85,7.49
24,msi181002_637805 ~ 08.fits,58393.691248,33.36,266.36,0.0204,0.0186,0.0269,0.0259,0.0003,0.0003,0.0078,0.0264,,21.19,-180.76,96.51,9.19
