,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,p_155140_ALBj010119 ~ 22.fits,2458393.617927,35.78,266.61,0.0508,-0.0046,0.0024,0.0024,0.0007,0.0007,0.051,0.0025,,-2.61,-91.32,1.41,8.48
1,p_155140_ALBj010123 ~ 26.fits,2458393.619747,35.76,266.6,0.0498,-0.0128,0.0024,0.0028,0.0007,0.0007,0.0513,0.0025,,-7.2,-91.32,1.41,9.15
2,p_155140_ALBj010127 ~ 30.fits,2458393.62157,35.74,266.6,0.0498,-0.0073,0.0024,0.0023,0.0007,0.0007,0.0502,0.0025,,-4.17,-91.32,1.44,6.54
3,p_155140_ALBj010131 ~ 34.fits,2458393.623386,35.73,266.6,0.0518,-0.0124,0.0026,0.0026,0.0007,0.0007,0.0532,0.0027,,-6.74,-91.32,1.43,8.88
4,p_155140_ALBj010135 ~ 38.fits,2458393.625204,35.71,266.6,0.0466,-0.0092,0.0025,0.0026,0.0007,0.0007,0.0474,0.0026,,-5.56,-91.32,1.57,8.61
5,p_155140_ALBj010139 ~ 42.fits,2458393.627019,35.7,266.6,0.0477,-0.0143,0.0026,0.0026,0.0007,0.0007,0.0498,0.0027,,-8.32,-91.32,1.54,8.61
6,p_155140_ALBj010143 ~ 46.fits,2458393.628832,35.68,266.6,0.0435,-0.0151,0.0027,0.0026,0.0007,0.0007,0.046,0.0028,,-9.54,-91.32,1.72,8.17
7,p_155140_ALBj010147 ~ 50.fits,2458393.630642,35.67,266.59,0.0483,-0.006,0.0027,0.0027,0.0007,0.0007,0.0486,0.0028,,-3.51,-91.32,1.62,7.47
8,p_155140_ALBj010151 ~ 54.fits,2458393.63245,35.65,266.59,0.0474,-0.0151,0.0028,0.0029,0.0007,0.0007,0.0497,0.0029,,-8.83,-91.32,1.69,8.48
9,p_155140_ALBj010155 ~ 58.fits,2458393.634262,35.64,266.59,0.0495,-0.0107,0.0027,0.0027,0.0007,0.0007,0.0506,0.0028,,-6.1,-91.32,1.58,7.09
10,Weighted_average,2458393.626104,35.71,266.6,0.0486,-0.0104,0.0008,0.0008,0.0007,0.0007,0.0497,0.001,0.0495,-6.05,-2.64,0.6,8.15
