,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,p_155140_ALBj160398 ~ 01.fits,2458408.592296,7.8,74.09,-0.004,0.0043,0.0028,0.0027,0.0007,0.0007,0.0052,0.0029,,66.34,-91.32,15.83,7.18
1,p_155140_ALBj160402 ~ 05.fits,2458408.594742,7.81,74.1,-0.0058,0.0105,0.004,0.0029,0.0007,0.0007,0.0116,0.0033,,59.53,-91.32,8.08,6.09
2,p_155140_ALBj160406 ~ 09.fits,2458408.597216,7.82,74.1,-0.0136,0.0048,0.0052,0.003,0.0007,0.0007,0.0135,0.0051,,80.18,-91.32,10.77,7.04
3,p_155140_ALBj160410 ~ 13.fits,2458408.599532,7.82,74.1,-0.0104,0.0081,0.003,0.0031,0.0007,0.0007,0.0128,0.0031,,70.98,-91.32,6.99,10.7
4,p_155140_ALBj160414 ~ 17.fits,2458408.601711,7.83,74.11,-0.0106,0.0096,0.0032,0.003,0.0007,0.0007,0.0139,0.0032,,68.95,-91.32,6.59,11.46
5,p_155140_ALBj160418 ~ 21.fits,2458408.603821,7.84,74.11,-0.004,0.0072,0.0029,0.0029,0.0007,0.0007,0.0077,0.003,,59.41,-91.32,11.21,7.46
6,p_155140_ALBj160422 ~ 25.fits,2458408.605892,7.84,74.11,-0.0118,0.0025,0.0031,0.0032,0.0007,0.0007,0.0116,0.0032,,84.11,-91.32,7.8,8.08
7,p_155140_ALBj160426 ~ 29.fits,2458408.607939,7.85,74.11,-0.0061,0.0025,0.0025,0.0048,0.0007,0.0007,0.0059,0.003,,78.95,-91.32,14.72,6.28
8,p_155140_ALBj160430 ~ 33.fits,2458408.609974,7.86,74.12,-0.0065,0.0107,0.0028,0.0031,0.0007,0.0007,0.0122,0.0031,,60.68,-91.32,7.23,6.21
9,Weighted_average,2458408.601458,7.83,74.11,-0.0075,0.007,0.001,0.001,0.0007,0.0007,0.0102,0.0012,-0.01,68.38,84.28,3.5,7.83
