,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,p_155140_ALBj130222 ~ 25.fits,2458405.568531,2.24,63.65,-0.0118,0.0044,0.002,0.0017,0.0007,0.0007,0.0125,0.0021,,79.71,-91.32,4.87,6.3
1,p_155140_ALBj130226 ~ 29.fits,2458405.570148,2.24,63.7,-0.007,0.0013,0.0017,0.0017,0.0007,0.0007,0.0069,0.0018,,84.94,-91.32,7.5,6.84
2,p_155140_ALBj130230 ~ 33.fits,2458405.571762,2.25,63.74,-0.0068,0.0049,0.0017,0.0017,0.0007,0.0007,0.0082,0.0019,,72.15,-91.32,6.51,7.37
3,p_155140_ALBj130234 ~ 37.fits,2458405.573373,2.26,63.79,-0.0073,0.0004,0.0017,0.0017,0.0007,0.0007,0.0071,0.0018,,88.27,-91.32,7.4,7.23
4,Weighted_average,2458405.570953,2.25,63.71,-0.0079,0.0027,0.0009,0.0009,0.0007,0.0007,0.0084,0.0011,-0.007,80.46,106.74,3.8,6.94
