,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,p_155140_ALBj040208 ~ 11.fits,2458396.499506,24.14,265.45,0.0113,-0.009,0.0042,0.0046,0.0007,0.0007,0.0138,0.0045,,-19.35,-91.32,10.87,8.7
1,p_155140_ALBj040216 ~ 19.fits,2458396.502724,24.12,265.44,0.0133,0.0012,0.0035,0.0033,0.0007,0.0007,0.0129,0.0036,,2.63,-91.32,8.72,7.75
2,p_155140_ALBj040220 ~ 23.fits,2458396.504874,24.11,265.44,0.017,-0.006,0.0026,0.0021,0.0007,0.0007,0.0178,0.0026,,-9.76,-91.32,6.44,7.62
3,p_155140_ALBj040224 ~ 27.fits,2458396.506753,24.09,265.44,0.0086,-0.0023,0.0026,0.0019,0.0007,0.0007,0.0086,0.0026,,-7.31,-91.32,6.38,7.35
4,p_155140_ALBj040235 ~ 38.fits,2458396.509786,24.06,265.44,0.0123,-0.0043,0.0018,0.0017,0.0007,0.0007,0.0129,0.0019,,-9.69,-91.32,4.6,7.23
5,p_155140_ALBj040240 ~ 43.fits,2458396.512493,24.04,265.44,0.0082,0.0068,0.0018,0.0017,0.0007,0.0007,0.0105,0.0019,,19.82,-91.32,4.6,7.39
6,p_155140_ALBj040244 ~ 47.fits,2458396.514886,24.03,265.43,0.0132,-0.0024,0.0017,0.0017,0.0007,0.0007,0.0133,0.0018,,-5.15,-91.32,4.48,7.67
7,Weighted_average,2458396.507289,24.08,265.44,0.0117,-0.0014,0.0008,0.0008,0.0007,0.0007,0.0118,0.0011,0.0117,-3.46,1.1,2.6,
