,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
54,msi181003_638406 ~ 09.fits,58394.767032,28.95,265.9,0.0239,0.0029,0.0073,0.0071,0.0003,0.0003,0.0229,0.0073,,3.48,-180.76,9.17,5.8
55,msi181003_638410 ~ 13.fits,58394.770456,28.93,265.9,0.026,-0.005,0.0068,0.0076,0.0003,0.0003,0.0256,0.0069,,-5.44,-180.76,7.71,6.46
56,msi181003_638422 ~ 25.fits,58394.780168,28.89,265.9,0.0206,-0.0028,0.0079,0.0079,0.0003,0.0003,0.0192,0.0079,,-3.84,-180.76,11.82,6.05
57,msi181003_638426 ~ 29.fits,58394.783398,28.88,265.89,0.0196,-0.0021,0.008,0.0084,0.0003,0.0003,0.018,0.008,,-3.02,-180.76,12.67,6.1
58,msi181003_638430 ~ 33.fits,58394.786639,28.87,265.89,0.0208,0.0005,0.0087,0.009,0.0003,0.0003,0.0189,0.0088,,0.75,-180.76,13.28,7.56
59,msi181003_638434 ~ 37.fits,58394.789883,28.85,265.89,0.0169,-0.0151,0.0091,0.0097,0.0003,0.0003,0.0207,0.0094,,-20.88,-180.76,13.0,7.0
60,msi181003_638438 ~ 41.fits,58394.793109,28.84,265.89,0.0168,-0.0067,0.0094,0.0091,0.0003,0.0003,0.0155,0.0094,,-10.91,-180.76,17.38,6.87
61,msi181003_638442 ~ 45.fits,58394.796351,28.83,265.89,0.0217,0.0022,0.0092,0.0083,0.0003,0.0003,0.0198,0.0092,,2.84,-180.76,13.27,6.11
62,msi181003_638446 ~ 49.fits,58394.799717,28.81,265.89,0.0285,-0.0037,0.0089,0.0089,0.0003,0.0003,0.0273,0.0089,,-3.69,-180.76,9.37,7.62
63,msi181003_638450 ~ 53.fits,58394.802947,28.8,265.89,0.0248,-0.004,0.009,0.0098,0.0003,0.0003,0.0234,0.0091,,-4.58,-180.76,11.11,7.89
64,msi181003_638454 ~ 57.fits,58394.806198,28.79,265.88,0.0268,0.0027,0.0096,0.0119,0.0003,0.0003,0.0252,0.0097,,2.91,-180.76,11.0,11.38
65,Weighted_average,58394.683771,29.28,265.93,0.0236,-0.0045,0.001,0.001,0.0003,0.0003,0.024,0.001,0.0239,-5.37,-181.31,1.21,
