,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,msi181003_638160 ~ 63.fits,58394.56687,29.76,265.98,0.0245,0.0062,0.0104,0.0107,0.0003,0.0003,0.023,0.0104,,7.15,-180.76,12.91,9.96
1,msi181003_638164 ~ 67.fits,58394.57009,29.75,265.98,0.0235,0.004,0.0099,0.0096,0.0003,0.0003,0.0217,0.0099,,4.86,-180.76,13.04,8.13
2,msi181003_638168 ~ 71.fits,58394.573329,29.73,265.98,0.0354,0.002,0.0104,0.01,0.0003,0.0003,0.0339,0.0104,,1.63,-180.76,8.79,8.51
3,msi181003_638172 ~ 75.fits,58394.576575,29.72,265.98,0.0193,-0.0116,0.0103,0.0128,0.0003,0.0003,0.0196,0.011,,-15.51,-180.76,16.09,12.0
4,msi181003_638176 ~ 79.fits,58394.579805,29.71,265.98,0.0014,-0.0085,0.0155,0.0113,0.0003,0.0003,0.0,0.0114,,-40.38,-180.76,inf,9.15
5,msi181003_638180 ~ 83.fits,58394.583041,29.69,265.98,0.0298,0.0134,0.01,0.0123,0.0003,0.0003,0.031,0.0104,,12.13,-180.76,9.63,11.03
6,msi181003_638184 ~ 87.fits,58394.588181,29.67,265.98,0.0271,-0.0059,0.0106,0.0112,0.0003,0.0003,0.0256,0.0106,,-6.11,-180.76,11.83,8.44
7,msi181003_638188 ~ 91.fits,58394.591416,29.66,265.97,0.0347,-0.0069,0.0087,0.0087,0.0003,0.0003,0.0343,0.0087,,-5.64,-180.76,7.25,8.66
8,msi181003_638192 ~ 95.fits,58394.594646,29.65,265.97,0.0372,-0.0011,0.0081,0.0081,0.0003,0.0003,0.0363,0.0081,,-0.88,-180.76,6.4,7.79
9,msi181003_638196 ~ 99.fits,58394.59788,29.63,265.97,0.0276,0.0037,0.0076,0.0075,0.0003,0.0003,0.0268,0.0076,,3.84,-180.76,8.13,6.93
10,msi181003_638200 ~ 03.fits,58394.601128,29.62,265.97,0.0239,-0.0067,0.0098,0.0082,0.0003,0.0003,0.0229,0.0097,,-7.87,-180.76,12.09,8.64
11,msi181003_638204 ~ 07.fits,58394.604362,29.61,265.97,0.0274,-0.0013,0.008,0.0115,0.0003,0.0003,0.0262,0.008,,-1.34,-180.76,8.77,8.94
12,msi181003_638208 ~ 11.fits,58394.607591,29.59,265.97,0.0247,-0.0063,0.0086,0.0094,0.0003,0.0003,0.024,0.0087,,-7.21,-180.76,10.41,10.38
13,msi181003_638212 ~ 15.fits,58394.610828,29.58,265.96,0.0264,-0.0114,0.0093,0.0076,0.0003,0.0003,0.0272,0.0091,,-11.69,-180.76,9.57,8.85
14,msi181003_638216 ~ 19.fits,58394.614064,29.57,265.96,0.0244,-0.0093,0.0079,0.0071,0.0003,0.0003,0.0249,0.0078,,-10.4,-180.76,9.05,8.52
15,msi181003_638220 ~ 23.fits,58394.621023,29.54,265.96,0.0254,-0.0009,0.0069,0.0068,0.0003,0.0003,0.0244,0.0069,,-0.97,-180.76,8.13,8.06
16,msi181003_638224 ~ 27.fits,58394.624263,29.53,265.96,0.0143,0.0042,0.0065,0.0067,0.0003,0.0003,0.0134,0.0066,,8.26,-180.76,14.06,8.62
17,msi181003_638228 ~ 31.fits,58394.627493,29.51,265.96,0.0244,0.0009,0.008,0.0085,0.0003,0.0003,0.0231,0.008,,1.02,-180.76,9.92,10.29
18,msi181003_638232 ~ 35.fits,58394.630734,29.5,265.96,0.0262,-0.0022,0.0071,0.007,0.0003,0.0003,0.0253,0.0072,,-2.42,-180.76,8.1,8.35
19,msi181003_638236 ~ 39.fits,58394.63396,29.49,265.96,0.0297,0.0038,0.0072,0.0072,0.0003,0.0003,0.029,0.0072,,3.63,-180.76,7.12,8.38
20,msi181003_638240 ~ 43.fits,58394.63719,29.47,265.95,0.0189,-0.0166,0.0076,0.0083,0.0003,0.0003,0.0239,0.0079,,-20.68,-180.76,9.49,10.13
21,msi181003_638244 ~ 47.fits,58394.64042,29.46,265.95,0.0188,0.0057,0.0079,0.0087,0.0003,0.0003,0.0179,0.008,,8.44,-180.76,12.73,9.43
22,msi181003_638248 ~ 51.fits,58394.643661,29.45,265.95,0.0291,-0.0082,0.009,0.0079,0.0003,0.0003,0.0289,0.0089,,-7.85,-180.76,8.79,8.82
23,msi181003_638252 ~ 55.fits,58394.646902,29.43,265.95,0.0173,-0.0058,0.0085,0.0095,0.0003,0.0003,0.0161,0.0087,,-9.27,-180.76,15.4,11.98
24,msi181003_638256 ~ 59.fits,58394.650189,29.42,265.95,0.0258,-0.0019,0.0083,0.0099,0.0003,0.0003,0.0245,0.0083,,-2.08,-180.76,9.73,11.95
25,msi181003_638260 ~ 63.fits,58394.65342,29.41,265.95,0.0242,-0.0049,0.0081,0.0098,0.0003,0.0003,0.0233,0.0082,,-5.67,-180.76,10.11,9.21
26,msi181003_638264 ~ 67.fits,58394.656671,29.39,265.95,0.0296,0.0039,0.0088,0.0099,0.0003,0.0003,0.0285,0.0088,,3.74,-180.76,8.85,8.88
27,msi181003_638268 ~ 71.fits,58394.65991,29.38,265.94,0.0262,-0.0034,0.0083,0.0088,0.0003,0.0003,0.025,0.0083,,-3.71,-180.76,9.55,8.18
28,msi181003_638272 ~ 75.fits,58394.663153,29.37,265.94,0.0292,-0.014,0.008,0.0085,0.0003,0.0003,0.0314,0.0081,,-12.76,-180.76,7.43,6.67
29,msi181003_638276 ~ 79.fits,58394.666396,29.35,265.94,0.0212,-0.0083,0.0085,0.0085,0.0003,0.0003,0.0212,0.0085,,-10.67,-180.76,11.55,7.94
30,msi181003_638280 ~ 83.fits,58394.669635,29.34,265.94,0.0093,-0.0016,0.009,0.009,0.0003,0.0003,0.0029,0.009,,-4.79,-180.76,88.91,7.68
31,msi181003_638288 ~ 91.fits,58394.676105,29.32,265.94,0.0195,-0.0049,0.0086,0.0082,0.0003,0.0003,0.0182,0.0086,,-7.08,-180.76,13.46,7.11
32,msi181003_638302 ~ 05.fits,58394.680644,29.3,265.94,0.0225,-0.0073,0.0082,0.0077,0.0003,0.0003,0.0222,0.0082,,-9.04,-180.76,10.57,6.0
33,msi181003_638310 ~ 13.fits,58394.687106,29.27,265.93,0.015,-0.0004,0.0083,0.0081,0.0003,0.0003,0.0125,0.0083,,-0.75,-180.76,18.87,6.45
34,msi181003_638314 ~ 17.fits,58394.690337,29.26,265.93,0.0248,-0.0087,0.0094,0.008,0.0003,0.0003,0.0246,0.0092,,-9.72,-180.76,10.76,6.34
35,msi181003_638318 ~ 21.fits,58394.693584,29.24,265.93,0.0211,-0.0049,0.008,0.0084,0.0003,0.0003,0.0201,0.008,,-6.5,-180.76,11.45,6.58
36,msi181003_638322 ~ 25.fits,58394.696804,29.23,265.93,0.0325,-0.0018,0.0079,0.0081,0.0003,0.0003,0.0315,0.0079,,-1.57,-180.76,7.2,7.32
37,msi181003_638326 ~ 29.fits,58394.700041,29.22,265.93,0.0169,-0.0069,0.0081,0.008,0.0003,0.0003,0.0164,0.0081,,-11.11,-180.76,14.21,6.93
38,msi181003_638330 ~ 33.fits,58394.703274,29.2,265.93,0.0224,-0.0093,0.007,0.0068,0.0003,0.0003,0.0232,0.007,,-11.23,-180.76,8.64,5.96
39,msi181003_638334 ~ 37.fits,58394.706491,29.19,265.92,0.0264,-0.0058,0.0067,0.008,0.0003,0.0003,0.0261,0.0068,,-6.2,-180.76,7.43,7.94
40,msi181003_638338 ~ 41.fits,58394.712001,29.17,265.92,0.0197,-0.0032,0.0065,0.0066,0.0003,0.0003,0.0189,0.0065,,-4.56,-180.76,9.93,5.53
41,msi181003_638350 ~ 53.fits,58394.721712,29.13,265.92,0.023,-0.0049,0.0059,0.0062,0.0003,0.0003,0.0228,0.006,,-6.06,-180.76,7.49,5.94
42,msi181003_638354 ~ 57.fits,58394.724954,29.12,265.92,0.0231,-0.008,0.006,0.0064,0.0003,0.0003,0.0237,0.0061,,-9.6,-180.76,7.35,7.24
43,msi181003_638358 ~ 61.fits,58394.728193,29.1,265.92,0.0229,-0.0072,0.0058,0.0058,0.0003,0.0003,0.0233,0.0058,,-8.69,-180.76,7.18,5.63
44,msi181003_638362 ~ 65.fits,58394.731428,29.09,265.92,0.0216,-0.0077,0.0058,0.0057,0.0003,0.0003,0.0222,0.0058,,-9.79,-180.76,7.49,5.52
45,msi181003_638366 ~ 69.fits,58394.734653,29.08,265.91,0.0255,-0.0082,0.0059,0.0062,0.0003,0.0003,0.0261,0.0059,,-8.89,-180.76,6.51,6.82
46,msi181003_638370 ~ 73.fits,58394.737884,29.06,265.91,0.0274,-0.0031,0.0063,0.0062,0.0003,0.0003,0.0269,0.0063,,-3.17,-180.76,6.71,5.87
47,msi181003_638374 ~ 77.fits,58394.741136,29.05,265.91,0.0266,-0.0083,0.0063,0.0069,0.0003,0.0003,0.0271,0.0063,,-8.64,-180.76,6.7,8.22
48,msi181003_638378 ~ 81.fits,58394.744373,29.04,265.91,0.0246,-0.0033,0.0063,0.0068,0.0003,0.0003,0.024,0.0063,,-3.78,-180.76,7.52,7.1
49,msi181003_638382 ~ 85.fits,58394.747605,29.02,265.91,0.0234,-0.0134,0.0068,0.0089,0.0003,0.0003,0.026,0.0074,,-14.93,-180.76,8.17,12.0
50,msi181003_638386 ~ 89.fits,58394.750837,29.01,265.91,0.0165,-0.0095,0.0074,0.0072,0.0003,0.0003,0.0176,0.0073,,-14.92,-180.76,11.98,7.5
51,msi181003_638390 ~ 93.fits,58394.754079,29.0,265.9,0.024,-0.0008,0.0074,0.0066,0.0003,0.0003,0.0229,0.0074,,-0.99,-180.76,9.29,6.67
52,msi181003_638394 ~ 97.fits,58394.757317,28.98,265.9,0.0191,-0.0117,0.0064,0.0061,0.0003,0.0003,0.0214,0.0064,,-15.69,-180.76,8.5,5.48
53,msi181003_638402 ~ 05.fits,58394.763811,28.96,265.9,0.0223,-0.0055,0.0065,0.0067,0.0003,0.0003,0.022,0.0066,,-6.96,-180.76,8.54,5.64
