,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,msi180925_635251 ~ 54.fits,58386.671436,63.89,269.18,0.2054,-0.0053,0.014,0.0174,0.0003,0.0003,0.205,0.014,,-0.73,-180.76,1.95,9.52
1,msi180925_635255 ~ 58.fits,58386.677452,63.87,269.18,0.2013,-0.0495,0.0154,0.0188,0.0003,0.0003,0.2067,0.0156,,-6.91,-180.76,2.17,9.42
2,msi180925_635263 ~ 66.fits,58386.690988,63.81,269.17,0.0943,-0.0184,0.0515,0.0749,0.0003,0.0003,0.0804,0.0526,,-5.53,-180.76,18.73,12.75
3,msi180925_635267 ~ 70.fits,58386.697003,63.78,269.17,0.2104,-0.0518,0.0369,0.0525,0.0003,0.0003,0.2133,0.038,,-6.92,-180.76,5.11,8.28
4,msi180925_635408 ~ 11.fits,58386.806635,63.32,269.14,0.1753,-0.024,0.0307,0.023,0.0003,0.0003,0.1743,0.0306,,-3.9,-180.76,5.03,8.44
5,msi180925_635412 ~ 15.fits,58386.812663,63.29,269.14,0.1541,-0.0308,0.0291,0.0247,0.0003,0.0003,0.1544,0.029,,-5.65,-180.76,5.38,7.71
6,msi180925_635416 ~ 19.fits,58386.818671,63.27,269.14,0.1836,-0.0314,0.0264,0.0423,0.0003,0.0003,0.1844,0.027,,-4.86,-180.76,4.19,11.34
7,Weighted_average,58386.739264,63.6,269.16,0.1927,-0.0272,0.0084,0.0096,0.0003,0.0003,0.1945,0.0084,0.1933,-4.02,-183.18,1.24,
