,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,sub_p_155140_ALBi180187.fits ~ 90.fits,2458380.70898,87.77,269.52,40.143,-3.531,0.794,0.5581,0.038,0.0379,40.2902,0.7934,,-2.5,-2.02,0.55,5.98
1,sub_p_155140_ALBi180195.fits ~ 98.fits,2458380.719325,87.73,269.52,46.9238,-0.8628,0.8925,0.4352,0.038,0.0379,46.9232,0.8932,,-0.52,-0.03,0.54,5.48
2,Weighted_average,2458380.714152,87.74,269.52,43.1357,-1.8717,0.5932,0.3432,0.038,0.0379,43.1752,0.5941,43.1601,-1.24,-0.76,0.39,5.72
