JD FILTER PA PsANG P errP Pr THETA errTHETA THETAr
2458395.06532465 Rc 29.77 265.98 3.3152 0.7910 3.2164 2.9962 6.8393 -172.9883
2458395.06854919 Rc 29.75 265.98 1.6786 0.7326 1.6393 2.1955 12.5098 -173.7880
2458395.07178299 Rc 29.74 265.98 3.1877 0.8021 3.0715 3.7395 7.2120 -172.2420
2458395.07502199 Rc 29.73 265.98 3.0750 0.7818 3.0368 0.5021 7.2871 -175.4784
2458395.07826273 Rc 29.71 265.98 1.7141 0.9893 1.1021 -29.0149 16.5419 -204.9944
2458395.08149132 Rc 29.70 265.98 3.7825 0.7811 3.3562 9.7091 5.9192 -166.2684
2458395.08663079 Rc 29.68 265.98 2.3855 0.8199 2.3091 -11.2906 9.8519 -187.2661
2458395.08986922 Rc 29.67 265.97 2.6503 0.6630 2.6460 -5.6624 7.1704 -181.6369
2458395.09310243 Rc 29.65 265.97 3.4451 0.6390 3.4432 -5.0006 5.3159 -180.9731
2458395.09633507 Rc 29.64 265.97 2.0329 0.6265 1.8877 6.8652 8.8335 -169.1063
2458395.09957928 Rc 29.63 265.97 2.8120 0.7399 2.7329 -10.8393 7.5412 -186.8098
2458395.10281655 Rc 29.61 265.97 3.4572 0.8092 2.4290 18.6502 6.7089 -157.3183
2458395.10604688 Rc 29.60 265.97 2.9017 0.7613 2.3949 -21.2210 7.5194 -197.1885
2458395.10927952 Rc 29.59 265.97 3.5852 0.7400 3.2502 -16.5164 5.9163 -192.4824
2458395.11251736 Rc 29.57 265.96 1.0806 0.6627 1.0682 0.3053 17.5774 -175.6592
2458395.11947627 Rc 29.55 265.96 2.2636 0.5807 2.2622 -3.0277 7.3528 -178.9892
2458395.12271817 Rc 29.53 265.96 1.6199 0.5705 1.6199 -3.8656 10.0945 -179.8261
2458395.12594560 Rc 29.52 265.96 1.6365 0.6432 1.5170 6.9775 11.2649 -168.9810
2458395.12918808 Rc 29.51 265.96 2.7983 0.5925 2.7859 -1.3429 6.0684 -177.3004
2458395.13242130 Rc 29.49 265.96 4.2140 0.6386 3.8492 7.9649 4.3438 -167.9916
2458395.13564352 Rc 29.48 265.95 2.0176 0.6570 2.0005 -7.7851 9.3339 -183.7396
2458395.13887500 Rc 29.47 265.95 2.5229 0.6777 2.3498 6.6279 7.6996 -169.3256
2458395.14211632 Rc 29.45 265.95 2.3347 0.7470 2.2909 -9.6095 9.1711 -185.5620
2458395.14535532 Rc 29.44 265.95 2.3409 0.7112 2.3317 -1.5195 8.7086 -177.4700
2458395.14864004 Rc 29.43 265.95 3.3482 0.7232 3.3479 -3.6446 6.1910 -179.5941
2458395.15187905 Rc 29.41 265.95 2.4865 0.7628 2.0759 -20.7523 8.7927 -196.6998
2458395.15511922 Rc 29.40 265.95 3.6017 0.7389 3.3318 7.1081 5.8801 -168.8384
2458395.16160821 Rc 29.37 265.94 2.7551 0.6691 2.6960 -10.0011 6.9608 -185.9446
2458395.16484606 Rc 29.36 265.94 3.1163 0.7033 2.8874 -15.1056 6.4686 -191.0481
2458395.16808912 Rc 29.35 265.94 1.0473 0.6986 0.6643 -29.3741 19.1200 -205.3156
2458395.17456250 Rc 29.32 265.94 1.9549 0.6972 1.8890 -11.5170 10.2219 -187.4555
2458395.17909780 Rc 29.30 265.94 1.2467 0.6494 1.2463 -4.7892 14.9299 -180.7257
2458395.18555903 Rc 29.28 265.93 2.5698 0.6727 2.5629 -1.9707 7.5034 -177.9042
2458395.18879514 Rc 29.26 265.93 2.0371 0.7690 1.9927 -10.0580 10.8205 -185.9905
2458395.19203819 Rc 29.25 265.93 1.4549 0.7094 1.4447 -7.4744 13.9753 -183.4059
2458395.19526273 Rc 29.24 265.93 3.1374 0.6624 3.1283 -1.8898 6.0514 -177.8193
2458395.19849768 Rc 29.22 265.93 2.0871 0.6920 1.7373 -20.8994 9.5030 -196.8279
2458395.20172974 Rc 29.21 265.93 2.5193 0.5778 2.3432 -14.8484 6.5735 -190.7759
2458395.20495197 Rc 29.20 265.93 2.3903 0.5596 2.3758 -0.9185 6.7107 -176.8440
2458395.21045486 Rc 29.18 265.92 1.9417 0.5578 1.9166 -8.6914 8.2340 -184.6149
2458395.22016724 Rc 29.14 265.92 2.6469 0.5474 2.5672 2.9679 5.9273 -172.9516
2458395.22340914 Rc 29.12 265.92 2.8887 0.5477 2.8602 -8.1067 5.4345 -184.0252
2458395.22664352 Rc 29.11 265.92 2.3793 0.5458 2.3399 1.1400 6.5752 -174.7765
2458395.22988484 Rc 29.10 265.92 2.8789 0.5342 2.8695 -1.7636 5.3181 -177.6791
2458395.23311285 Rc 29.08 265.91 2.5888 0.5487 2.5697 -7.5639 6.0756 -183.4784
2458395.23633739 Rc 29.07 265.91 3.1148 0.5465 2.9279 5.8855 5.0293 -170.0270
2458395.23959490 Rc 29.06 265.91 2.5015 0.5650 2.3977 -12.3708 6.4739 -188.2823
2458395.24282871 Rc 29.04 265.91 2.0163 0.5481 1.9451 3.5462 7.7918 -172.3643
2458395.24605961 Rc 29.03 265.91 3.4375 0.6138 3.3035 -12.1149 5.1183 -188.0234
2458395.24929630 Rc 29.02 265.91 2.7871 0.6216 2.6698 -12.4352 6.3919 -188.3427
2458395.25253241 Rc 29.00 265.91 2.5940 0.6376 2.5907 -5.5436 7.0449 -181.4501
2458395.25577141 Rc 28.99 265.90 3.3161 0.5887 3.1868 -12.1211 5.0884 -188.0256
2458395.26226274 Rc 28.96 265.90 1.9766 0.5702 1.8612 5.7380 8.2687 -170.1645
2458395.26549132 Rc 28.95 265.90 2.4232 0.6172 2.3089 4.7340 7.3002 -171.1665
2458395.26891551 Rc 28.94 265.90 2.4827 0.5936 2.4611 -0.3154 6.8531 -176.2149
2458395.27862211 Rc 28.90 265.90 1.5600 0.6297 1.4979 -12.2126 11.5707 -188.1081
2458395.28185706 Rc 28.89 265.89 2.1507 0.6302 1.9877 7.1179 8.3987 -168.7766
2458395.28509260 Rc 28.87 265.89 1.4475 0.6778 1.4007 -11.4124 13.4213 -187.3049
2458395.28833565 Rc 28.86 265.89 1.8215 0.7032 1.7678 -11.0821 11.0658 -186.9736
2458395.29156655 Rc 28.85 265.89 1.2211 0.6977 1.1992 -9.5408 16.3772 -185.4313
2458395.29480382 Rc 28.83 265.89 2.1618 0.6976 2.1253 1.1603 9.2490 -174.7282
2458395.29817129 Rc 28.82 265.89 2.8511 0.6976 2.8451 -2.2579 7.0128 -178.1454
2458395.30140104 Rc 28.81 265.89 3.2773 0.6868 3.2717 -2.4471 6.0070 -178.3336
2458395.30464757 Rc 28.79 265.88 2.2315 0.8076 2.2045 -8.5772 10.3724 -184.4622
