JD FILTER PA PsANG P errP Pr THETA errTHETA THETAr
2458395.99794444 Rc 26.07 265.62 2.6344 1.0107 2.6215 178.4643 10.9914 2.8398
2458396.00118402 Rc 26.06 265.62 5.7676 1.1412 5.6399 169.5861 5.6686 -6.0374
2458396.00441956 Rc 26.04 265.62 2.4043 0.9599 2.0844 160.6746 11.4377 -14.9469
2458396.00764525 Rc 26.03 265.62 0.4455 0.7480 0.1199 138.4263 48.1033 -37.1942
2458396.01087211 Rc 26.02 265.62 0.6774 0.7022 0.6213 163.8793 29.6960 -11.7402
2458396.01410069 Rc 26.01 265.62 0.6607 0.7333 0.2896 143.6173 31.7960 -32.0012
2458396.01734317 Rc 25.99 265.62 1.2019 0.7443 0.8488 198.1537 17.7413 22.5367
2458396.02057118 Rc 25.98 265.62 1.3570 0.7065 0.8302 149.4750 14.9149 -26.1405
2458396.02380324 Rc 25.97 265.61 1.7919 0.6641 1.7709 171.2214 10.6168 -4.3931
2458396.02704051 Rc 25.95 265.61 1.6769 0.6655 1.3822 192.8562 11.3684 17.2427
2458396.03027778 Rc 25.94 265.61 0.0000 0.6521 0.0000 141.6216 0.0974 -33.9909
2458396.03350868 Rc 25.93 265.61 1.5827 0.7565 1.5754 172.8678 13.6944 -2.7427
2458396.04320197 Rc 25.89 265.61 1.7400 0.6521 1.5942 187.4195 10.7357 11.8120
2458396.04643635 Rc 25.88 265.61 2.0477 0.6760 0.5764 138.7799 9.4568 -36.8261
2458396.04967130 Rc 25.87 265.60 0.8079 0.6723 0.7879 169.2170 23.8378 -6.3875
2458396.05290104 Rc 25.85 265.60 1.6663 0.6854 1.6653 174.5914 11.7835 -1.0121
2458396.05613600 Rc 25.84 265.60 3.1801 0.6980 3.1772 174.3783 6.2880 -1.2242
2458396.06259433 Rc 25.82 265.60 0.0000 0.6628 0.0000 182.4324 1.0634 6.8329
2458396.06583044 Rc 25.80 265.60 1.5608 0.6727 1.0108 150.7791 12.3483 -24.8194
2458396.06905903 Rc 25.79 265.60 0.9508 0.7066 0.9490 173.8353 21.2906 -1.7622
2458396.07228819 Rc 25.78 265.60 1.4539 0.5812 1.4488 178.0112 11.4518 2.4147
2458396.07552083 Rc 25.77 265.60 1.6159 0.6278 1.5207 185.4734 11.1298 9.8779
2458396.07875579 Rc 25.75 265.59 1.9791 0.5803 1.9334 181.7642 8.4002 6.1707
2458396.08198322 Rc 25.74 265.59 1.8340 0.5709 1.5909 190.5087 8.9179 14.9162
2458396.08520313 Rc 25.73 265.59 0.8492 0.5856 0.7156 191.8795 19.7567 16.2880
2458396.08843923 Rc 25.71 265.59 0.8063 0.5579 0.8063 175.8171 19.8209 0.2266
2458396.09167708 Rc 25.70 265.59 1.5791 0.5811 0.9270 202.6159 10.5423 27.0269
2458396.09492072 Rc 25.69 265.59 2.6204 0.5225 2.6138 177.6268 5.7125 2.0393
2458396.09815220 Rc 25.68 265.59 0.6091 0.5224 0.5649 186.5623 24.5721 10.9758
2458396.10137790 Rc 25.66 265.59 1.5420 0.5183 1.4539 165.8588 9.6291 -9.7267
2458396.10461690 Rc 25.65 265.58 1.8288 0.5098 1.6637 187.8539 7.9851 12.2694
2458396.10786574 Rc 25.64 265.58 1.4192 0.5006 1.3116 186.8082 10.1057 11.2257
2458396.11110590 Rc 25.63 265.58 1.8476 0.4909 1.8172 170.3730 7.6119 -5.2085
2458396.11537847 Rc 25.61 265.58 1.2785 0.5089 1.2130 166.3699 11.4022 -9.2106
2458396.11860591 Rc 25.60 265.58 1.2750 0.5363 1.2709 173.2793 12.0491 -2.2992
2458396.12183159 Rc 25.58 265.58 2.3625 0.5937 2.3280 180.4787 7.1989 4.9012
2458396.12507060 Rc 25.57 265.58 1.7838 0.6155 1.5772 161.6507 9.8844 -13.9258
2458396.13479051 Rc 25.53 265.57 2.5436 0.6213 1.9630 155.8272 6.9971 -19.7453
2458396.13803067 Rc 25.52 265.57 1.4633 0.6733 1.4602 177.4528 13.1806 1.8813
2458396.14125405 Rc 25.51 265.57 1.8992 0.6738 0.6911 209.9008 10.1644 34.3303
2458396.14773727 Rc 25.48 265.57 2.6445 0.6750 2.2796 190.7952 7.3127 15.2267
2458396.15097685 Rc 25.47 265.57 1.3975 0.7277 1.2077 190.6747 14.9171 15.1082
2458396.15421759 Rc 25.46 265.57 1.5527 0.6942 1.0854 198.3899 12.8076 22.8244
2458396.15746586 Rc 25.45 265.56 1.1734 0.6586 0.7491 150.4004 16.0783 -25.1641
2458396.16069965 Rc 25.43 265.56 1.6773 0.6331 1.4754 161.3622 10.8126 -14.2013
2458396.16394097 Rc 25.42 265.56 1.8328 0.6278 1.8322 174.8341 9.8125 -0.7284
2458396.16717593 Rc 25.41 265.56 1.8492 0.6510 0.4390 213.6942 10.0852 38.1332
2458396.17041667 Rc 25.39 265.56 1.0332 0.6157 0.9899 183.8765 17.0722 8.3170
2458396.17365625 Rc 25.38 265.56 1.2834 0.6156 1.2834 175.7175 13.7421 0.1590
2458396.18012269 Rc 25.36 265.56 2.0907 0.6032 1.8410 189.7000 8.2650 14.1435
2458396.18983449 Rc 25.32 265.55 1.8783 0.5453 1.6224 190.6816 8.3168 15.1291
2458396.19306540 Rc 25.31 265.55 0.6203 0.5266 0.6117 170.7835 24.3183 -4.7680
2458396.19630325 Rc 25.29 265.55 0.9128 0.5386 0.8541 165.2232 16.9039 -10.3273
2458396.19953415 Rc 25.28 265.55 1.5952 0.5456 1.5392 183.1569 9.7984 7.6074
2458396.20277489 Rc 25.27 265.55 0.9971 0.5193 0.7841 156.4740 14.9208 -19.0740
2458396.20600984 Rc 25.26 265.55 1.6116 0.5355 -0.0398 221.2537 9.5187 45.7072
2458396.20924653 Rc 25.24 265.55 1.6457 0.5567 1.5235 186.6551 9.6904 11.1096
2458396.21248322 Rc 25.23 265.54 2.4133 0.5110 2.4105 174.1658 6.0654 -1.3787
2458396.21571875 Rc 25.22 265.54 1.4031 0.5112 1.4003 177.3491 10.4370 1.8056
2458396.21895718 Rc 25.21 265.54 1.4037 0.5119 1.3108 186.0233 10.4478 10.4808
2458396.22218866 Rc 25.19 265.54 0.5225 0.5213 0.4934 165.9332 28.5810 -9.6078
2458396.22542998 Rc 25.18 265.54 1.2608 0.5673 1.1557 163.7614 12.8910 -11.7781
2458396.22866898 Rc 25.17 265.54 4.9300 1.3125 3.6918 196.2937 7.6268 20.7552
2458396.24327720 Rc 25.11 265.53 0.0000 0.6809 0.0000 165.8416 0.2253 -9.6919
2458396.24651794 Rc 25.10 265.53 0.7688 0.8939 0.6819 189.2825 33.3081 13.7500
2458396.24974942 Rc 25.09 265.53 0.6558 0.9949 0.2966 143.9741 43.4585 -31.5574
2458396.25298380 Rc 25.07 265.53 0.8631 0.8022 0.7390 159.9827 26.6291 -15.5478
2458396.25621991 Rc 25.06 265.53 3.0969 1.0540 2.7140 161.1312 9.7496 -14.3978
2458396.25945891 Rc 25.05 265.53 1.3018 0.6878 1.2964 178.1479 15.1365 2.6204
2458396.26270196 Rc 25.04 265.53 2.6411 0.6630 2.1560 157.8857 7.1919 -17.6408
2458396.26594270 Rc 25.02 265.53 1.1290 0.6858 0.6652 202.4764 17.4015 26.9509
2458396.26918229 Rc 25.01 265.52 2.2084 0.6973 2.1267 167.7063 9.0461 -7.8182
2458396.27241320 Rc 25.00 265.52 0.0000 0.7103 0.0000 185.3191 0.5324 9.7956
2458396.27563947 Rc 24.99 265.52 3.1613 0.7126 2.9079 187.0716 6.4576 11.5491
2458396.27886574 Rc 24.97 265.52 0.3862 0.6929 0.2922 155.1078 51.3959 -20.4132
2458396.28533044 Rc 24.95 265.52 0.7116 1.1141 0.4662 200.0524 44.8523 24.5339
2458396.28856482 Rc 24.94 265.52 2.6811 1.6727 -0.3500 224.2676 17.8726 48.7501
2458396.29794734 Rc 24.90 265.51 1.7974 0.9393 1.7043 166.2538 14.9705 -9.2607
2458396.30118692 Rc 24.89 265.51 1.4474 0.9226 1.3387 186.6864 18.2607 11.1729
2458396.30441956 Rc 24.87 265.51 1.4116 0.8022 1.3341 165.9793 16.2803 -9.5332
2458396.31703009 Rc 24.83 265.51 1.5395 1.0556 0.6012 209.0140 19.6420 33.5065
2458396.32026331 Rc 24.81 265.51 0.7045 1.4964 0.3892 203.7363 60.8513 28.2298
