JD FILTER PA PsANG P errP Pr THETA errTHETA THETAr
2458387.16849537 Rc 63.90 269.18 22.5752 2.0907 22.3311 -5.0366 2.6544 -184.2161
2458387.17451389 Rc 63.88 269.18 22.0372 1.9416 22.0363 -0.5630 2.5253 -179.7415
2458387.18805209 Rc 63.82 269.17 nan 7.2450 nan -40.2994 nan -219.4739
2458387.19406886 Rc 63.80 269.17 28.3861 5.3407 26.8651 -10.2481 5.3927 -189.4206
2458387.30370602 Rc 63.33 269.14 15.8029 3.1827 12.9213 -18.4324 5.7726 -197.5749
2458387.30973611 Rc 63.30 269.14 10.8221 3.6847 9.9734 10.5618 9.7590 -168.5792
2458387.31574190 Rc 63.28 269.14 22.7231 3.7908 21.7875 -9.1098 4.7816 -188.2493
