JD FILTER PA PsANG P errP Pr THETA errTHETA THETAr
2458401.05168634 Rc 8.97 265.60 0.3393 0.4780 -0.2246 -70.1319 40.3838 -245.7269
2458401.05631540 Rc 8.96 265.60 1.0879 0.4539 -1.0879 85.5570 11.9584 -90.0415
2458401.06094444 Rc 8.94 265.60 2.1214 0.4645 -1.9936 -84.4039 6.2760 -260.0059
2458401.06555845 Rc 8.93 265.61 0.5581 0.4873 0.5498 0.5243 25.0301 -175.0812
2458401.07018055 Rc 8.92 265.61 1.5620 0.5108 -1.0995 62.9797 9.3735 -112.6298
2458401.07479861 Rc 8.90 265.61 1.4825 0.4685 -0.7876 56.6584 9.0578 -118.9546
2458401.07942651 Rc 8.89 265.62 1.6144 0.4864 -1.5034 -83.6942 8.6357 -259.3107
2458401.08404746 Rc 8.88 265.62 1.1200 0.4577 -0.9466 69.4645 11.7140 -106.1560
2458401.08866377 Rc 8.86 265.62 0.7264 0.4505 -0.3847 56.6114 17.7730 -119.0126
2458401.09466782 Rc 8.84 265.63 1.6107 0.4884 -1.5746 -88.2985 8.6907 -263.9270
2458401.09929977 Rc 8.83 265.63 1.0505 0.4173 -1.0428 82.1522 11.3860 -93.4803
2458401.10392882 Rc 8.82 265.64 1.8683 0.3947 -1.6296 70.9977 6.0556 -104.6388
2458401.10855845 Rc 8.80 265.64 1.6952 0.3841 -1.6951 85.2406 6.4936 -90.3999
2458401.11317303 Rc 8.79 265.64 1.7060 0.3947 -1.6461 78.0280 6.6318 -97.6160
2458401.11779803 Rc 8.78 265.65 0.4160 0.3844 -0.1942 54.5624 26.4913 -121.0851
2458401.12242651 Rc 8.76 265.65 0.2895 0.3727 -0.2893 86.6405 36.9062 -89.0110
2458401.12705845 Rc 8.75 265.66 1.8382 0.3898 -1.5670 69.8965 6.0783 -105.7590
2458401.13168171 Rc 8.74 265.66 1.8221 0.3942 -1.8221 85.5920 6.2014 -90.0675
2458401.13638021 Rc 8.72 265.66 1.1718 0.3662 -1.0966 75.3434 8.9566 -100.3201
2458401.14100694 Rc 8.71 265.67 0.8926 0.3948 -0.7346 -77.0218 12.6754 -252.6893
2458401.14563600 Rc 8.70 265.67 1.3968 0.3947 -1.3951 87.0878 8.0996 -88.5837
2458401.15025983 Rc 8.68 265.68 1.7463 0.4268 -1.5890 73.4255 7.0054 -102.2500
2458401.15489410 Rc 8.67 265.68 1.3157 0.4168 -1.3149 86.6993 9.0811 -88.9802
2458401.15951852 Rc 8.66 265.68 1.4419 0.4407 -1.4367 88.1220 8.7596 -87.5615
2458401.16415336 Rc 8.64 265.69 0.5582 0.4638 0.0409 38.5871 23.8152 -137.1004
2458401.16879224 Rc 8.63 265.69 0.7084 0.4412 -0.6972 -89.2217 17.8511 -264.9132
2458401.18239583 Rc 8.59 265.70 0.8662 0.5196 -0.8468 79.6281 17.1936 -96.0754
2458401.19165220 Rc 8.56 265.71 1.0782 0.4887 -1.0612 80.6130 12.9901 -95.0995
2458401.20091724 Rc 8.54 265.72 3.0347 0.4787 -2.8066 74.5434 4.5215 -101.1771
2458401.20554166 Rc 8.52 265.72 2.5771 0.4878 -2.5640 82.8353 5.4255 -92.8892
2458401.21017245 Rc 8.51 265.73 0.8000 0.4757 -0.7619 76.8523 17.0440 -98.8772
2458401.21478936 Rc 8.50 265.73 2.6700 1.1650 -2.1376 67.3259 12.5060 -108.4076
2458401.24798784 Rc 8.40 265.77 1.5323 1.0455 -0.8154 56.8417 19.5564 -118.9238
2458401.25260243 Rc 8.39 265.77 1.8667 0.9779 -1.6512 -80.3298 15.0159 -256.0993
2458401.25738657 Rc 8.38 265.77 2.0063 1.1215 0.5815 32.3513 16.0215 -143.4232
2458401.26200694 Rc 8.36 265.78 1.0025 0.8133 -0.9980 83.0758 23.2522 -92.7032
