JD FILTER PA PsANG P errP Pr THETA errTHETA THETAr
2458394.04615047 Rc 33.97 266.42 3.6820 1.0604 3.3403 163.9804 8.2548 -12.4401
2458394.04937616 Rc 33.96 266.42 1.4727 1.2182 1.1021 155.6448 23.7103 -20.7747
2458394.05830440 Rc 33.92 266.42 2.7936 1.3062 2.7556 171.6821 13.4011 -4.7334
2458394.06153298 Rc 33.91 266.41 6.0508 1.3716 6.0406 178.0746 6.4973 1.6611
2458394.07832523 Rc 33.83 266.41 1.0179 2.1699 1.0041 1.1285 61.1012 -175.2775
2458394.08155903 Rc 33.82 266.40 7.0132 1.1683 6.8134 3.2582 4.7748 -173.1463
2458394.08478761 Rc 33.81 266.40 4.5870 3.3849 4.3038 6.5223 21.1509 -169.8807
2458394.08806944 Rc 33.79 266.40 7.1141 1.2192 7.0779 173.5106 4.9120 -2.8909
2458394.09131250 Rc 33.78 266.40 6.9937 1.5266 6.8615 170.8228 6.2565 -5.5777
2458394.09453935 Rc 33.77 266.40 nan 3.2524 nan 75.3682 nan -101.0303
2458394.09776331 Rc 33.75 266.40 4.5321 4.1562 2.7416 150.0095 26.2850 -26.3880
2458394.12485359 Rc 33.64 266.38 5.9722 1.3318 5.8777 1.4872 6.3919 -174.8973
2458394.13134260 Rc 33.61 266.38 4.1575 1.4136 4.0287 3.5314 9.7452 -172.8501
2458394.13457408 Rc 33.60 266.38 7.3021 0.8833 7.3006 176.9638 3.4672 0.5833
2458394.13780845 Rc 33.58 266.38 4.0032 0.6851 3.9968 177.9927 4.9055 1.6142
2458394.15889120 Rc 33.49 266.37 1.7720 0.8387 1.7643 179.0461 13.5653 2.6766
2458394.16211574 Rc 33.48 266.37 2.8257 0.7371 2.8186 174.3347 7.4770 -2.0328
2458394.16534954 Rc 33.47 266.37 3.3871 0.6284 3.2827 169.2335 5.3177 -7.1330
2458394.16858912 Rc 33.45 266.36 3.6624 0.6490 3.6012 171.1166 5.0793 -5.2479
2458394.17182581 Rc 33.44 266.36 3.5288 0.6850 3.5237 177.9027 5.5641 1.5392
2458394.17507060 Rc 33.43 266.36 4.0516 0.7208 3.2774 158.3561 5.0991 -18.0059
2458394.17831539 Rc 33.41 266.36 5.6889 0.6885 5.5904 171.0222 3.4690 -5.3383
2458394.18154688 Rc 33.40 266.36 5.1494 0.7483 4.9969 169.3690 4.1650 -6.9905
2458394.18478067 Rc 33.39 266.36 4.1034 0.9729 3.9219 167.8041 6.7955 -8.5534
2458394.18970602 Rc 33.36 266.36 3.9398 2.2440 3.2532 13.5240 16.3255 -162.8315
2458394.19941377 Rc 33.32 266.35 5.0135 2.2171 4.4179 10.4572 12.6754 -165.8938
2458394.20264526 Rc 33.31 266.35 5.4983 2.5496 5.4874 178.1584 13.2908 1.8089
2458394.29270660 Rc 32.93 266.31 3.4920 1.1795 3.4896 175.2433 9.6815 -1.0662
2458394.29593576 Rc 32.92 266.31 4.3702 0.7586 4.3597 174.3272 4.9753 -1.9808
2458394.31548611 Rc 32.83 266.30 3.3598 1.3397 3.0364 163.6285 11.4292 -12.6710
2458394.31871470 Rc 32.82 266.30 6.4546 1.5487 5.7298 10.0060 6.8771 -166.2925
2458394.32210301 Rc 32.81 266.30 nan 2.1542 nan 176.2825 nan -0.0140
