JD FILTER PA PsANG P errP Pr THETA errTHETA THETAr
2458389.10586690 Rc 55.57 268.56 19.6875 6.8700 19.0206 -8.9143 10.0018 -187.4778
2458389.12997511 Rc 55.47 268.55 5.6642 4.3211 5.5768 3.5938 21.8658 -174.9607
2458389.13459375 Rc 55.45 268.55 9.5456 3.4551 8.2837 13.4506 10.3747 -165.1019
2458389.13921065 Rc 55.43 268.55 9.7087 3.3960 8.3916 -16.5463 10.0259 -195.0968
2458389.14382870 Rc 55.41 268.55 16.2836 3.2804 16.1870 -4.5722 5.7742 -183.1212
2458389.14844097 Rc 55.38 268.55 16.8187 3.6061 16.6436 2.6850 6.1454 -175.8625
